year,id1,id2
1976,542,16853
2012,543,6107
2012,543,68901
1999,544,653
1999,544,7784
2010,544,9243
1999,544,63290
2014,545,68360
2001,546,31984
2001,546,66759
2006,548,2648
2014,549,1351
2010,549,53756
2009,549,80120
2012,550,51443
2016,550,52414
2012,551,26791
2012,551,52039
1987,552,29703
2013,554,1012
2013,554,58108
2011,555,25968
2011,555,31591
2011,555,47249
2011,555,54221
2006,556,73492
1967,557,4939
1967,557,59812
1967,557,77046
2009,558,987
2016,558,28033
2009,558,36627
2011,558,56090
2016,559,51253
2015,559,53026
2014,560,29184
2001,561,3320
2002,561,9585
2002,561,31184
2003,561,56773
2006,562,6724
2006,563,29041
2001,563,31823
2003,564,8376
2006,564,16400
2003,564,52460
2002,565,58229
2002,565,73485
2005,567,11106
2005,567,56219
2005,567,56919
2002,568,54381
2002,568,61443
2008,569,48828
2008,569,56682
2012,570,3601
2012,570,51968
2012,570,66416
2006,571,5944
2012,572,42888
2015,572,59637
2014,572,72807
2010,573,19873
2004,575,2652
2004,575,26738
2004,575,53366
2005,576,6801
2005,576,31225
2005,576,38894
2016,576,46500
2006,578,7049
2004,578,17424
2004,578,32923
2001,578,49416
2013,580,71642
2002,582,1974
2002,582,18660
2017,582,22131
2017,582,28917
2006,582,32003
2002,582,32017
2017,582,60664
2002,582,61876
2004,583,21506
2011,583,23611
2004,583,32710
2004,583,46194
2004,583,66865
2006,586,25770
2012,587,6699
2012,587,54656
2002,588,35066
2003,588,39659
2002,588,44956
2016,589,5785
2016,589,29946
2016,589,65570
2002,590,7532
2004,590,11540
2002,590,53427
2004,592,30482
2004,592,35693
2000,593,2764
1998,593,16500
2004,593,28921
2005,593,38650
2004,593,43441
2004,593,55284
1998,593,58153
2004,593,59374
2006,593,66435
2005,594,13165
2011,594,32996
2005,595,27529
2005,595,54829
2006,595,79702
2006,596,9358
2004,596,25320
2006,596,78300
2000,597,909
2000,597,26721
2000,597,47592
2000,597,72905
2000,597,73561
2000,597,79584
2006,598,22866
2016,598,37371
2016,598,67621
2014,599,2856
2011,601,19022
2011,601,27493
2009,601,29715
2008,601,30966
2008,601,53656
2013,601,69529
2004,603,79198
2001,604,4102
2001,604,35650
2000,605,31912
2000,605,34745
2000,605,59628
2006,607,45656
2003,607,70133
2002,610,47378
2002,610,65481
2002,611,7291
2000,611,14057
2005,612,1776
2004,612,3992
2004,612,28998
2005,612,37831
2006,612,80077
2005,614,16193
2011,615,25318
2006,616,43319
2011,617,36069
2009,618,698
2013,618,2800
2013,618,3397
2001,618,21133
2015,618,28776
2005,618,29037
2013,618,33522
2013,618,36253
2013,618,39712
2005,618,44102
2008,618,45482
2013,618,56619
2003,619,53291
2003,619,56583
2005,620,3644
2004,621,9894
2000,622,16944
2004,622,77878
2005,623,31372
2005,623,59773
2005,623,63693
2006,624,19582
2006,624,38179
2006,624,51572
2003,625,70075
2006,626,1684
2007,626,6711
2003,627,16405
2003,627,26906
2003,627,73023
2002,628,6058
2004,628,33054
2004,628,52117
2004,628,63237
2005,629,57778
2002,630,21942
2016,631,9771
2016,631,29350
2016,631,38709
2016,631,51872
2016,631,72989
2005,632,27719
2005,632,39995
2012,633,32520
2016,633,33923
2012,633,34142
2012,633,45749
2012,633,51723
2012,633,53087
2012,633,53284
2015,633,53522
2012,633,55196
2012,633,55333
2012,633,64859
2016,633,71128
2016,633,77070
2004,634,22675
2005,635,875
2006,635,33481
2006,635,63120
2005,635,68878
2004,636,10057
2001,637,23337
1992,638,79063
2006,640,33170
2006,640,66153
2016,641,31142
2016,641,42538
2015,642,60588
2003,643,19496
2003,643,20007
2003,643,77736
1998,645,31159
2006,645,52174
1998,645,54290
2014,646,9907
2015,647,33070
2015,647,48812
2005,648,987
1991,648,3220
2014,648,5353
2000,648,8545
2003,648,12735
2004,648,14868
2008,648,28731
2002,648,29040
2000,648,29455
2002,648,33232
2009,648,36627
2004,648,47665
1991,648,48598
2000,648,49580
1996,648,52029
1996,648,53852
2000,648,56052
2007,648,56185
2007,648,58198
2004,648,68929
2004,648,70323
2000,648,70867
2003,648,71361
2000,648,75776
2008,648,78652
2006,649,1847
2006,649,5706
2017,652,7413
2017,652,51903
2005,654,11771
2005,654,71281
2005,654,78025
2003,655,1962
2005,655,7561
2005,655,23720
2001,655,26596
2002,656,27565
2015,657,3040
2015,657,7130
2015,657,27044
2015,657,30457
2015,657,32353
2015,657,42780
2015,657,65342
2015,657,66941
1998,659,65794
1998,659,74703
2006,660,12443
2002,660,56963
2011,662,33415
2006,662,75552
2006,663,50468
2002,665,10243
2002,665,24642
2005,665,51446
2004,665,52997
2002,665,63291
2002,665,67280
2004,666,35096
2004,666,46213
2005,668,37867
2005,669,11003
2005,669,56798
2005,670,6207
2005,670,16608
2005,670,46981
2005,670,69352
2005,671,33839
2006,672,35583
2006,672,37287
2006,672,43390
2006,672,47332
2006,672,56918
2006,672,58671
2004,673,6687
2004,673,23236
2004,673,38030
2004,673,62082
2004,673,76640
2003,675,5129
2003,675,75967
2014,677,77658
1994,678,57134
2005,680,27597
2006,680,70655
2005,682,10618
2004,683,9139
2004,683,38843
2005,684,3317
2012,684,65319
2006,684,70832
1998,685,3081
1998,685,7014
1998,685,28597
1998,685,44062
1998,685,61539
2002,686,28363
2003,686,73251
2002,687,3634
2004,687,8453
2002,687,28765
2002,687,52751
2006,687,56069
2006,687,56892
2016,688,8170
2015,688,18630
2016,688,19545
2015,688,27467
2012,688,32640
2012,688,46027
2014,688,52971
2015,688,67658
1993,689,1781
1993,689,18419
2011,689,42700
2014,690,56884
2003,691,52754
2004,691,64012
2003,692,42744
2004,692,71356
1998,693,58196
2003,694,1151
2003,694,48012
2006,695,63004
2006,695,67075
2012,696,1274
2001,697,19347
2001,697,79077
2001,698,1023
2002,698,2697
2001,698,3379
2001,698,4159
1995,698,8991
2007,698,9684
2009,698,19424
2007,698,27406
2006,698,27658
2000,698,32672
1982,698,32778
2006,698,39563
1995,698,42315
1976,698,47535
2002,698,47689
2005,698,48227
2007,698,49714
2007,698,54548
2006,698,57572
2001,698,59577
2004,698,59964
2004,698,60097
2005,698,67775
2000,698,77621
2009,699,68682
1998,700,27341
2011,700,29666
1998,700,39870
2004,700,46274
2011,700,54836
2011,700,55359
2006,701,78233
1995,702,32933
2013,704,15094
2006,704,17177
2006,704,52218
1999,704,63949
2011,704,65483
2006,705,7909
2006,705,13687
2003,705,34383
2002,705,34914
2004,708,14825
2004,708,69420
2004,709,27892
2005,710,70862
2013,711,17967
2013,711,79176
2001,712,20946
2000,712,37554
2006,713,54688
2005,714,33623
2005,714,35518
2005,714,70716
2003,714,76945
2003,716,67259
2003,716,71310
2007,717,2425
2010,718,4051
2010,718,52014
2003,718,53071
2012,718,75252
2002,720,1315
2002,720,2941
2007,720,26298
2010,720,33829
2006,720,34875
1998,720,54281
2002,720,60241
2005,721,12271
2005,721,23883
2006,721,25414
2004,722,30267
2004,722,48237
2004,723,2343
2004,723,21475
2014,724,10390
2005,725,45918
1999,726,20307
2004,726,42255
2004,726,77573
2016,728,6887
2014,728,31647
2016,728,39878
2014,728,45852
2001,733,2427
2011,734,44946
1999,734,68413
2001,734,73941
2016,736,3522
2016,736,46273
2015,736,54317
2009,736,58529
2016,736,70714
2002,737,11724
2005,737,27514
2003,739,10138
2003,739,38910
2000,740,38554
2012,741,14803
2012,741,16083
2012,741,18267
2012,741,30194
2012,741,43713
2016,741,50457
2016,741,71988
2016,741,74652
2012,742,16415
2014,742,16585
2012,742,27583
2012,742,33568
2012,742,41623
2016,742,46506
2016,742,47991
2014,742,61903
2014,742,68360
2016,742,76257
2015,742,78511
2005,743,3162
2005,743,4434
2005,743,10609
2006,744,3800
2006,744,18517
2006,744,43305
2002,745,2954
2003,745,6311
2001,745,10792
2006,745,23008
2006,745,35499
2013,745,39553
2006,745,54066
2015,745,64067
2005,745,72264
2005,746,25937
2016,748,35412
2016,748,58350
1997,749,35779
2005,753,26221
2005,753,38105
2005,753,57575
2005,753,58378
2014,755,2015
2012,755,7624
2012,755,25684
2012,755,30780
2016,755,53910
2006,756,4019
2001,757,1112
2001,757,15726
2001,757,71146
2007,758,5532
2016,758,9093
2007,758,52256
2007,758,60931
2004,761,36990
2006,761,62739
2005,763,2123
2005,763,54534
2006,763,63142
2006,763,76044
2006,764,18501
2006,766,80198
2004,767,12148
2004,767,57321
1999,768,2086
2000,768,24153
1997,769,13073
2001,769,15723
2007,770,7338
2014,770,27571
2006,770,30071
2010,770,39381
2016,770,66013
2004,771,4826
2002,772,52754
1998,772,55521
2004,772,67399
2015,773,61014
2003,774,24383
2003,774,53136
2002,774,56877
2003,774,58073
2005,775,28806
1999,776,13537
1999,776,24672
2005,776,25331
2002,776,33721
1999,776,54214
1997,778,69415
2003,779,38677
2003,779,45516
2009,780,2906
2009,780,3018
2009,780,20001
2009,780,21068
2009,780,27249
2009,780,30343
2009,780,35115
2009,780,35934
2009,780,53748
2009,780,53839
2009,780,59256
2009,780,74708
2006,781,8356
2006,781,37058
2005,781,58714
2004,783,49109
2009,783,51856
2003,784,5543
2003,784,69310
2006,785,9766
2006,785,14801
2004,785,31410
2015,786,35998
2015,786,66082
2004,786,67420
2010,787,57679
2004,788,14146
2004,788,60981
2004,789,33521
2002,791,22493
2005,791,25417
2005,791,56421
2002,791,60607
2005,793,12139
2004,793,24008
2005,793,36678
2004,793,44100
2015,794,1329
2014,794,21569
2014,794,51261
2015,794,51304
2014,794,54604
2014,794,63032
2004,795,35532
2004,795,40595
1999,796,51839
1998,800,27629
1997,800,33880
1998,800,57499
1997,800,61242
2005,801,19820
2005,801,35292
2016,802,17198
2016,802,46921
2016,802,53941
2005,803,2452
2009,803,3326
2017,803,27317
2009,803,27360
2009,803,27383
2005,803,29056
2010,803,36359
1997,803,47558
2009,803,53381
2016,803,54543
2017,803,64494
2017,803,69103
2010,803,69322
2006,804,2170
2006,804,7411
2004,804,11659
2006,804,30316
2004,805,51075
1999,806,68196
2006,808,71498
2006,808,79768
2003,809,56268
2007,809,58874
2005,810,3840
2006,810,5366
2006,810,27993
2005,810,30823
2005,810,56639
2006,811,19634
2004,812,24122
2005,812,26647
2005,812,51521
2003,812,54768
2005,812,59882
2006,813,28865
2006,813,44443
2000,814,34227
2001,815,26596
1998,816,1374
2005,816,20548
2000,816,26267
1999,816,33029
1998,816,35471
1999,816,52550
1990,817,37215
2016,818,46850
2005,819,12638
2001,819,26277
2005,819,51550
2005,819,68221
2006,821,34004
2006,822,31879
2006,822,41622
2006,822,53111
2004,824,1827
2008,825,3379
2008,825,5447
2005,825,9645
2005,825,57267
2014,826,55698
2004,827,6483
2005,827,38473
2004,827,40639
